S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
1,"   Akrajas Ali Umar, Suratun Nafisah, Siti Khatijah Md Saad, Aamna Balouch, Sin Tee Tan, Muhamad Mat Salleh, Munetaka Oyama, ", Poriferous microtablet of anatase TiO2 growth on an ITO surface for high-efficiency dye-sensitized solar cells.  ,Solar Energy Materials And Solar Cells,Solar Energy Materials and Solar Cells,5.03,http://www.elsevier.com/wps/find/journaldescription.cws_home/505675/description#description,2014,122,174–182.,
2,"A Mujeeb-Kazi, AG Kazi, I Dundas, A Rasheed, H Bux, P Chen, R Wang, SS Xu, T Mahmood:",Genetic diversity for wheat improvement as a conduit to food security,Advances in Agronomy,Advances in Agronomy,5.021,http://www.sciencedirect.com/science/journal/00652113,2013,122,", 179-257",
3,"Qazi M. A, Ocak Ü., Ocak M., and Memon S,  ","An excellent Cu(II) selective chemosensor based on calix[4]arene framework,",Analytica Chimica Acta, Analytica Chimica Acta http://dx.doi:10.1016/j.aca.2012.11.026,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2012,761(1),157-168,
4,"Naeemullah, Tasneem Gul Kazi, Mustafa Tuzen, Faheem Shah, Hassan Imran Afridi, Demirhan Citak,",Development of a new green non-dispersive ionic liquid microextraction method in a narrow glass column for determination of cadmium prior to couple with graphite furnace atomic absorption spectrometry,Analytica Chimica Acta," Analytica Chimica Acta,",4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,"2014,",,",  59-64.",
5,"Qazi M. A, Ocak Ü., Ocak M., and Memon S",An excellent Cu(II) selective chemosensor based on calix[4]arene framework,Analytica Chimica Acta,Anal Chim Acta ,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,761(1),157-168,
6,"S. S. Hassan, Y. Liu, Sirajuddin. A. R. Solangi, A. M. Bond, J. Zhang, ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromate,",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
7,"Syeda Sara Hassan, Yuping Liu, Sirajuddin, Amber R. Solangi, Alan M. Bond, Jie Zhang, “ ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromated",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
8,"Huma Shaikh, Najma Memon, MI Bhanger, SM Nizamani, A Denizli,",Core-shell molecularly imprinted polymer-based solid-phase microextraction fiber for ultra trace analysis of endosulfan I and II in real aqueous matrix through GC-microECD,Journal of Chromatography A," Journal of Chromatography A, http://dx.doi.org/10.1016/j.chroma.2014.02.035",4.258,http://www.elsevier.com/wps/find/journaldescription.cws_home/502688/description#description,2014,,,
9," A. R. Khaskheli, Jan Fischer, Ji?rí Barek, Vlastimil Vysko?cil, Sirajuddin,   M. I. Bhanger","Differential pulse voltammetric determination of paracetamol in tablet and urine samples at a micro-crystalline natural graphite–polystyrene composite film modified electrode,",Electrochim Acta, Electrochim Acta ,4.086,http://www.elsevier.com/wps/find/journaldescription.cws_home/205/description#description,2013,(84)  . 101,238 – 242,
10," Zafar Hussain Ibupoto, N Jamal, K Khun, Xianjie Liu and Magnus Willander  ","A potentiometric immunosensor based on silver nanoparticles decorated ZnO nanotubes, for the selective detection of d-dimer ",Sensors And Actuators B-Chemical,"Sensors and actuators. B, Chemical",3.84,http://www.elsevier.com/wps/find/journaldescription.cws_home/504104/description#description,2013,182, 104-111.,
11,"N. H. Kalwar, Sirajuddin,  S. T. H. Sherazi, A. R. Khaskheli, K. R. Hallam, T. B. Scott, Z. A. Tagar, S. S. Hassan, R. A. Soomro",Fabrication of small l-threonine capped nickel nanoparticles and their catalytic application,Applied Catalysis A: General,Appl. Catal. A ,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
12,"Nazar H Kalwar,  Sirajuddin, Syed Tufail H Sherazi, Abdul R Khaskheli,  Keith R Hallam,  Thomas B Scott,  Zulfiqar A Tagar, Syeda S Hassan, Razium A Soomro,  ",Fabrication of Small L-Threonine Capped Nickel Nanoparticles and Their Catalytic Application,Applied Catalysis A: General,Applied Catalysis A: General,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
13,"Zafar Hussain Ibupoto, K Khun, Jun Lu and Magnus Willander   ","The synthesis of CuO nanoleaves, structural characterization, and their glucose sensing application  ",Applied Physics Letters,Applied Physics Letters,3.515,http://apl.aip.org/,2013,102(10),,
14,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
15,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak,  ",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
16,"  K. D. Brahman, T. G. Kazi J.A. Baig, H. I. Afridi, S.S. Arain, M.B. Arain",", Fluoride and arsenic exposure through water and grain crops in Nagarparkar, Pakistan",Chemosphere ,Chemosphere ,3.499,http://www.elsevier.com/wps/find/journaldescription.cws_home/362/description,-2014,"100, ", 182–189. ,
17,"Naeem Ullah, M. Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,J Anal Atom Spectrom,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,1441-1445,
18,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi, ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom (2013),3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
19,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi,  ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom doi:10.1039/C3JA30387,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
20,"NaeemUllah, M.Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted  ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,Journal of Analytical Atomic Spectrometry ,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,141-1445,
21,"Sana Jawaid, Farah N Talpur, S T H Sherazi, Shafi M Nizamani, Abid A Khaskheli",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141(3),3066,
22,"yaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger","A., Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids",Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496-502,
23,"Ayaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger.,  ",Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496–502,
24,"Sana Jawaid, F. N. Talpur, S.T.H. Sherazi,   ",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141,3066-3071,
25," S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak, B. Hazer, ","Polyhydroxybutyrate-b-polyethyleneglycol block copolymer for the solid phase extraction of lead and copper in water, baby foods, tea and coffee samples.",Food Chemistry,Food Chemistry (,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2014)  –,,152 75,
26,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M",Synthesis of amino substituted p-tert-butylcalix[4]arene for the removal of Chicago Sky Blue and Tropaeolin 000 azo dyes from aqueous environment,Industrial Crops and Products," Ind. Crops Prod224 (1) 1424, 2013,
http://dx.doi:10.1007/s11270-012-1424 ",3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
27,"amejo, M. Q., Memon, S., Bhanger, M. I. and Khan, K. M",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,. Industrial Crops and Products,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013," 45,",293-295,
28,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43 (1) ,213-217,
29,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H. “ ",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43(1),213-217,
30,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M. ",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
31,"AK Shah, ZM Ali, AR Memon, AJ Laghari, MA Mughal, SFA Shah,",Exploitation of Low Cost Coal Fly Ash Adsorbent with Coagulants for the Treatment of Industrial Complex Nature Dyes Wastewater. ,International Journal of Scientific & Engineering Research, ...International Journal of Scientific & Engineering Research,3.2,http://www.ijser.org/,2013,4(9),190-119 ,
32,"Moina Akhtar Mughal, Akhtar Mughal, Zeenat M. Ali, Ghulam Zuhra Memon, Mohammad Yar Khuhawar, Hussain Saleem     ","Pak-Japan  Relations: A multidimensional engagement"" Asia Pacific:",International Journal of Scientific & Engineering Research,International Journal of Scientific &amp; Engineering Research http://www.ijser.org  ,3.2,http://www.ijser.org/,2013,volume 4 issue 9,,
