S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
1,Dr. Ahmed Ali Brohi,"Gender  DifferentialTreatment  ln Social  Development in pakistan,  with special  Focus  on Health And Income/Work:",A Sociological Study Baluchistan Study Center, A Sociological Study  Baluchistan  Study Center: [Jniversity of Baluchistan,NA,NA,2013,XXVIII No. 1,,
3,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Siraj Uddin, Najma Memon, ","Synthesis and Characterizations of Highly Efficient Copper Nanoparticles and their Use in Ultra Fast Catalytic Degradation of Organic Dyes,","Advance Material Research, ","Advance Material Research, ",NA,http://www.scientific.net/AMR, (2014) .,829,93,
4,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Sirajuddin, Najma Memon,  ","Synthesis of Air Stable Copper Nanoparticles And Their Use In Catalyis, ","Advance Material Research, ",Advanced Materials Research doi:10.4028/www.scientific.net/AMR.829.93,NA,http://www.scientific.net/AMR,2014,829,93-99,
6,"Muhammad Ali Ghoto*, Abdullah  Dayo,Muhammad Akram', lmran Surehyani and Abbas Ali",prescription writing trends in areas of Hyderabad Pakistan,African Journal of Pharmacy and Pharmacology,African Journal of Pharmacy and Pharmacology 2013,NA,http://www.academicjournals.org/ajpp/,2013,7(17),1009-1014,
7,Dr. Bashir Ahmed Rind,Viyaj khan bachanr lai hik ,Al-Farooq, Al-Farooq,NA,NA,2013, No. 2 V,,
8,Dr. Bashir Ahmed Rind,Islam ke karobari Akhlaqui iqdar Res. Jour Al-Qalam,Al-Qalam,ISSN 2071-8683 (Y Category),NA,NA,2013,"VOL 18, issue 1",,Y
13,"IRFAN ALI MEMON*, MUHAMMAD SIDDIQUE KALHORO**, AND ANNETTE PAYNE*** * Assistant Professor, Institute of Physics, University of Sindh, Jamshoro. * Professor, Institute of Physics, University of Sindh, Jamshoro. *** Lecturer, Information systems and computing, Brunel University, West London UK. Mehran University Research Journal of Engineering & Technology, ",Wavelet Coherence,Analysis of Change Blindness,Analysis of Change Blindness [ISSN 0254-7821] ,NA,NA,2013,"vol 32, No. 1",,
101,"Laghari, A., Jan, M. O., Khan, M.  A., Agheem, M. H., Sahito, A. G.,  Anjum, S","Petrography and major element chemistry of mafic dykes in the Nagar parkar igneous Complex,  Tharparkar, Sindh. Jr. Himalayan",Earth Sciences, Earth Sci.,NA,NA,2013, 46(1);, 1-11.,
116,"M Taha, NH Ismail, W Jamil, H Rashwan",Synthesis of novel derivatives of 4-methylbenzimidazole and evaluation of their biological activities,European Journal, European journal ,NA,NA,2014,,,
120,"Kalsoom Shaikh, Ghulam Sarwar Gachal, Saima Memon, Rafi u Zaman Brohi and Muhmmad Yusuf Shaikh","Distinct Morphology, Population Status and Environmental Ecology of Bufo stomaticus (Anura: Bufonidae) in Sindh, Pakistan ",Flora and Fauna,Flora and Fauna,NA,http://www.fauna-flora.org/,2013,19,323-329,
131," Amanullah Mahar, Imran Ahmad, Humaira wasila, Ali N. Siyal, Saeed Akhtar Abro, Riffat N. Malik, Waris Ali Gabol, Siraj A. Channa, Syed Noor Muhammad Shah and Muhammad Ali Khan",Concentrations of Road Transport-Related Air Pollutants and Its Health Implications of Hyderabad City,Global Journal of Biodiversity Science and Management, Global Journal Of Biodiversity Science And Management ,NA,http://findresearcher.sdu.dk:8080/portal/en/journals/global-journal-of-biodiversity-science-and-management%2865ecf5c7-3450-4b29-a3e4-02c8f48a4300%29.html,-2013,3(2),"269-275   ,  ",
132,Dr. Saima Shaikh,"Gender  & Higher  Education:  A case study of pakistanisociety,, ",Government Res. J. of Political Sci University of Sindh,Government Res. J. of Political Sci University of Sindh,NA,NA,2013,vol 2 DEC,,
133,Dr. Ashiq Ali Jhatial Dr. Noor M Jamali Dr. Javed A Chandio Ashfaq Ali Banbhan,PSYCHOLOGICAL CONTRACT:  MEASURING  THE IMPACT OF EMPLOYERS' INDUCEMENTS  EXPECTATIONS  ON EMPLOYEES'  WORK-LIFE  BALANCE AND LOYALTY ,Grassroots,Grassroots,NA,NA,2013,XLVII No. 1,,Z
134,Dr. Rizwana Chang Dr. Noor Muhammad  Jamali Fiza Qureslti,"EFFECTS AND CONSEQUENCES  OF YOUTUBE APPLICATION  IN STUDENTS OF MEHRAN UNIVBRSITY OFENGINEERING & TECHNOLOGY, JAMSHORO  SINDH  ",Grassroots,Grassroots,NA,NA,2013,XLVII,,Z
135,Dr. Saima Shaikh,"social Assessment of Female Education  una it, r-pact on poverty Alleviation  in Badin District of Sindh, pakistan",Grassroots,Grassroots,NA,NA,2013,vol XLVII No. II July-DEC,83-100,Z
136,Gopang Najma,Crime and Poverty in Urban Areas of Pakistan: cause and effect Relationship  ,Grassroots,Grassroots ,NA,NA,2013,XLVII No. 1,,Z
137,,orrelative  Study of Food cropping and Farm mechanization  in Agriculture  of Pakistan,Grassroots,Published  in the Bi-annual  Research  Journal  Grass  Roots (ISSN 1726-0396,NA,NA,January -June 2013.  ,Vol. XLVll. No.  1,,Z
138,Pakistan Study centre University of Sindh Jamshoro.     ,"Kidney Selling, a Pakistani Perspective,",Grassroots,Published in “Grassroots bi-annual Research Journal,NA,NA,2013," Volume No. XLVl,",,Z
139,  Pakistan Study Centre University of Sindh jamshoro,"Terrorism in Pakistan causes, effects and controlling strategy,",Grassroots,Published in grassroots  Biannual Journal Research,NA,NA,2012, Vol: No: XLVI,,Z
140,"Pakistan Study Center University of Sindh, Jamshoro.     ",Analysis of the activities of fake spiritual idea in Pakistan,Grassroots,Published in Grassroots biannual Research Journal,NA,NA, January- June 2013.,"Vol. XLVII, No.1",,Z
141,"Pakistan Study Center University of Sindh, Jamshoro.    ",Ramification of Black Magic in Pakistan,Grassroots,Published in Gross roots,NA,NA,2014, Vol. XLVII No. I ,,Z
142,,Acid throwing on women in Pakistan ,Grassroots,published in. Grassroots biannual research Journal Pakistan Study Center,NA,NA,2012,ol: No: XLV June 2012,,Z
143,"Anwar Ali Shah G. Syeda, Faiz Muhammad Shaikhb ",Effects of Macroeconomic Variables on Gross Domestic Product (GDP) in Pakistan ,ICOAE, International Conference On Applied Economics (ICOAE),NA,NA,2013,5, 703–711,
144,"ARAIN MI , GHOTO  MA, DAYO  AI, SIYAL, FJ, MEMON  N, AHMED S, IRFANR' AND QURESH A'","A CASE STUDY ON PHARMACOVIGILANCE  AND PRESCRIBING TREND OF ANTTIHYPER'TENSIVE THERAPY  IN GOVERNMENT HOSPITAI, OF HYDERABAD, PAKISTAN ",IJBPAS,"277-4998 IJBPAS 2013  December,",NA,http://www.sjifactor.inno-space.net/passport.php?id=2517,2013,,,
145,"RAJpUT SA., GHOTO  MA, DAYO  A, GHAFFAR  ,  ARAIN M, QURI1SHI A",DRUG INDUCED  MYALGIA  IN POST MYOCARDIAL ARCTION  PATIENTS ON ATORVASTATATIN THERAPY  CARE HOSPITAL OF HYDERABAD PAKISTAN 2277-4998 ,IJBPAS,IJBPAS 2013 ,NA,http://www.sjifactor.inno-space.net/passport.php?id=2517,2013,2(11),2065-2071,
153,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K. ",Gas chromatographic coupled mass spectroscopic study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan.,International Food Research Journal ,Int Food Res J Accepted,NA,http://www.ifrj.upm.edu.my/,-2014,,,
154," Aftab A. K., Sherazi, S.T.H, Rubina, S., Razia, S., Ambrat., Arfa, Y. ",Consequence of Fatty Acids Profile Including trans Fat in Chocolate and Pastry Samples,International Food Research Journal ,Int Food Rese J 20,NA,http://www.ifrj.upm.edu.my/,2013,133)  , 601-605,
155,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K.  ",Gas chromatographic coupled mass spectroscopic Study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan,International Food Research Journal ,International Food Research Journal ,NA,http://www.ifrj.upm.edu.my/,accepted,38,,
156,"Aftab A. K., Sherazi, S.T.H, Rubina, S., Razia, S., Ambrat., Arfa, Y.  ","Consequence of Fatty Acids Profile Including trans Fat in Chocolate and Pastry Samples, ",International Food Research Journal ,"International Food Research Journal, (Accepted).îîîView    72. ",NA,http://www.ifrj.upm.edu.my/,accepted,,,
162,"Shaista Khan, Allah Bux Ghanghro, A N.Memon, Ibtessam Tahir, Afsheen Mushtaque Shah , Mumtaz Ali Sahito, Farah N. Talpur, S. Qureshi","Quantitative Analysis of Wheat Proteins in Different Varieties Grown In Sindh, Pakistan",International Journal of Agriculture and Crop Sciences,International Journal of Agriculture and Crop Sciences,NA,NA,2013,5-16,,
163," Shaista Khan.  AB Ghanehro,  AN Memon. lbtessam Tahir, AM Shah,  M.A Sahito, Farah  talpur and Summera Qu res hi.","Quantitative Analysis  of Wheat Proteins  in Different Vorities Grown in Sindh,  Pokiston.",International journal of Agriculture and Crop Sciences,nternational  journal  of Agriculture  and Crop  Sciences,NA,NA,(2013).," 5-L6,", L836  -  1839 ,
164," Asif A. Jamali , Amber R. Solangi, Najma Memon, Shafi M. Nizamani, ","Current scenario of pesticide practices among farmers for vegetable production: A case study in Lower Sindh, Pakistan,",International Journal of Development and Sustainability," International Journal of Development and Sustainability,",NA,http://isdsnet.com/ijds,-2014,3, 493-504.,
173,Faculty of Arts University of Sindh Jamshoro.   ,"An in depth inside and child abuse and its impact on personality of victims,",IRJAH,IRJAH International Research Journal,NA,NA,2012,"volume No: 40,",,Z
174,,Demerits of exchange marriages in Sindh,IRJAH,Published in international research journal of Arts and humanities (IRJAH),NA,NA,2013,VOL: 41 ,,Z
175,,Hrm in selected public and private Hospitals of Karachi and Hyderabad,IRJAH,Published in international research journal of Arts and humanities (IRJAH),NA,NA,2013,VOL: 41,,Z
189,"Arfana Mallah, Saima Memon, Amber R. Solangi, Abdullah Khan,  Muhammad. Y. Khuhawar, M. I. Bhanger,”  ","Separation and Determination of Chromium (III), Chromium (VI), Gold (III) and Arsenic (V) by Capillary Zone Electrophoresis using 2-Acetylpyridine-4-phenylthiosemicarbazone as Complexing Reagent",JCSP, JCSP,NA,NA,2013,2013 (in press),,
190,Ms. Ishrat Afshan  Abbasi (Assistant  Professor),Heavy Metal Analysis in Groundwater in the Vicinity of Distillery Spent Wash Evaporation Ponds,"Joumal of Far East and South East Asia, University of  Sindh, Jamshoro","Joumal of Far East and South East Asia, University of  Sindh, Jamshoro",NA,NA,2013,31,,
217,Dr. Syed Iftikhar Hussain Jafri,Education as gender equalizer: overcoming youth enemployment in Pakistan,Journal of Education and Practice,Journal of Education and Practice,NA,NA,2013,vol 4 no. 27,28-34,
218,Dr. Syed Iftikhar Hussain Jafri,English background as the predictors for students' speaking skills in Pakistan ,Journal of Education and Practice,Journal of Education and Practice 2222-1735 ,NA,NA,2013,vol 4 No. 20,30-35,
223,Centre of Excellence for Women’s studies University of Karachi.     ,"The Self employed women, Women Entrepreneurs and Work Polished in Pakistan,",Journal of Gender Studies ,Journal of Gender Studies ,NA,NA,2014," Vol. 8, ",,
226," Laghari A.Q., Memon S., Nelofar A. and Laghari A.H.",Identification of various alkaloids in Tecomella undulata G. Don flowers. ,Journal of King Saud University (Science),J. King Saud University (Science) http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014 ( Accepted),NA,http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014,2014,26 issue 4,300-304,
230, Faculty of Arts University of Karachi.  ,"Socio-Economic Condition of Children Working in Auto Work Shops of District Hyderabad, Published in ",Journal of Social Science and Humanities,Journal of Social Science and Humanities,NA,NA,2012, Volume No.51 part-II,,
231, faculty of Arts University of Karachi.     ,"Study of Child labor working in auto workshops,",Journal of Social Sciences and Humanities,Journal of Social Sciences and Humanities,NA,NA,2011,Volume No 50,,
