Unicode,character,UTF-8,name
U+0600,?,216128,ARABIC NUMBER SIGN
U+0601,?,216129,ARABIC SIGN SANAH
U+0602,?,216130,ARABIC FOOTNOTE MARKER
U+0603,?,216131,ARABIC SIGN SAFHA
U+0604,?,216132,ARABIC SIGN SAMVAT
U+0605,?,216133,ARABIC NUMBER MARK ABOVE
U+0606,?,216134,ARABIC-INDIC CUBE ROOT
U+0607,?,216135,ARABIC-INDIC FOURTH ROOT
U+0608,?,216136,ARABIC RAY
U+0609,?,216137,ARABIC-INDIC PER MILLE SIGN
U+060A,?,216138,ARABIC-INDIC PER TEN THOUSAND SIGN
U+060B,?,216139,AFGHANI SIGN
U+060C,"?",216140,ARABIC COMMA
U+060D,?,216141,ARABIC DATE SEPARATOR
U+060E,?,216142,ARABIC POETIC VERSE SIGN
U+060F,?,216143,ARABIC SIGN MISRA
U+0610,?,216144,ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
U+0611,?,216145,ARABIC SIGN ALAYHE ASSALLAM
U+0612,?,216146,ARABIC SIGN RAHMATULLAH ALAYHE
U+0613,?,216147,ARABIC SIGN RADI ALLAHOU ANHU
U+0614,?,216148,ARABIC SIGN TAKHALLUS
U+0615,?,216149,ARABIC SMALL HIGH TAH
U+0616,?,216150,ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH
U+0617,?,216151,ARABIC SMALL HIGH ZAIN
U+0618,?,216152,ARABIC SMALL FATHA
U+0619,?,216153,ARABIC SMALL DAMMA
U+061A,?,216154,ARABIC SMALL KASRA
U+061B,?,216155,ARABIC SEMICOLON
U+061C,?,216156,ARABIC LETTER MARK
U+061D,?,216157,
U+061E,?,216158,ARABIC TRIPLE DOT PUNCTUATION MARK
U+061F,?,216159,ARABIC QUESTION MARK
U+0620,?,216160,ARABIC LETTER KASHMIRI YEH
U+0621,?,216161,ARABIC LETTER HAMZA
U+0622,?,216162,ARABIC LETTER ALEF WITH MADDA ABOVE
U+0623,?,216163,ARABIC LETTER ALEF WITH HAMZA ABOVE
U+0624,?,216164,ARABIC LETTER WAW WITH HAMZA ABOVE
U+0625,?,216165,ARABIC LETTER ALEF WITH HAMZA BELOW
U+0626,?,216166,ARABIC LETTER YEH WITH HAMZA ABOVE
U+0627,?,216167,ARABIC LETTER ALEF
U+0628,?,216168,ARABIC LETTER BEH
U+0629,?,216169,ARABIC LETTER TEH MARBUTA
U+062A,?,216170,ARABIC LETTER TEH
U+062B,?,216171,ARABIC LETTER THEH
U+062C,?,216172,ARABIC LETTER JEEM
U+062D,?,216173,ARABIC LETTER HAH
U+062E,?,216174,ARABIC LETTER KHAH
U+062F,?,216175,ARABIC LETTER DAL
U+0630,?,216176,ARABIC LETTER THAL
U+0631,?,216177,ARABIC LETTER REH
U+0632,?,216178,ARABIC LETTER ZAIN
U+0633,?,216179,ARABIC LETTER SEEN
U+0634,?,216180,ARABIC LETTER SHEEN
U+0635,?,216181,ARABIC LETTER SAD
U+0636,?,216182,ARABIC LETTER DAD
U+0637,?,216183,ARABIC LETTER TAH
U+0638,?,216184,ARABIC LETTER ZAH
U+0639,?,216185,ARABIC LETTER AIN
U+063A,?,216186,ARABIC LETTER GHAIN
U+063B,?,216187,ARABIC LETTER KEHEH WITH TWO DOTS ABOVE
U+063C,?,216188,ARABIC LETTER KEHEH WITH THREE DOTS BELOW
U+063D,?,216189,ARABIC LETTER FARSI YEH WITH INVERTED V
U+063E,?,216190,ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE
U+063F,?,216191,ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
U+0640,?,217128,ARABIC TATWEEL
U+0641,?,217129,ARABIC LETTER FEH
U+0642,?,217130,ARABIC LETTER QAF
U+0643,?,217131,ARABIC LETTER KAF
