,level,Passed,Department,Ann.Supp,Year,Gender
1,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
2,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
3,16 Years of Edu. ,15,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
4,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
5,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
6,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
7,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
8,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
9,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,annual,2014,M
14,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
15,16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
16,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
17,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
18,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
19,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
20,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ANTHROPOLOGY & ARCHAEOLOGY.csv,supply,2014,M
