Name of Author,Title of Research Paper,Name of Journal,Year,Category of Journal/ IF,Volume#,Page#,source,Dept
"B A BUGHIO, R SULTANA, M S WAGAN, M A RAFI",Taxonomic study on the Occurrence of Trilophidia annulata (Thunberg) (Oedipodinae: Acrididae:,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"M ADNAN, Z U ISLAM, K BASHIR, S ALI, I KHAN, I A SHAH, S JAN, M A MAHMOOD",Performance of two Algorithms of Energy Detection in Cooperative-Cognitive Networks with Path Loss Effects over AWGN Channel,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"A R SAHITO, R B MAHAR, K M BROHI",Kinetics of Anaerobically Co–Digested Crop Residues and Buffalo Dung.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"G DASTAGIR, N T NAREJO, M A PANEZAI, S JALBANI","Length- weight study of fishes from Zhob River, Balochistan, Pakistan.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"MA JADOON, Z A KHAN, M A SHAH, I KHAN, A SHAH, S JAN, M A MAHMOOD",SER and Outage Probability Analysis of Network Coding over Identical Terrestrial and Non-identical Satellite-terrestrial Fading Channels,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"M KUMAR, M HUSSAIN, G SARWAR, M A UQAILI",Energy Conservation and Emission Reduction through Electric Motors in Industrial Sector of Pakistan,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"S IMRAN, TU JAN, A JEHANGIR, S HAQ",A Novel Approach for Blind Separation of Convolutive Noisy Speech Mixtures Based on Block Thresholding,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"G S KALOI, M H BALOCH, M K MAHESHWARI, R B LASHARI",Analysis and Estimation of Technical Losses in Urban Distribution Feeders Bahawalpur,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"A SHAH, M Y KHUHAWAR, A A SHAH","Synthesis and Characterization of Newly Schiff Base Polymers of 4, 4’- Methylene Bis (Cinnamaldehyde) With Urea and 1,2-Phenylenediamine.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"K A MEMON, M H AGHEEM, S H SOLANGI, I SIDDIQUI, H NAZ, I A BROHI","Road Deposited Sediments and dust particles of selected roads of Hyderabad, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"M A A KHAN, S A ABID, N AHMAD, A W ABBAS, M WAQAS",Formant based Pashto Digits and Numbers Synthesizer.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"ALA UDDIN, H ZAFAR, T JAN, N AHMAD, S R HASSNAIN",Efficient Variable Least Significant Bits Audio Steganography (VLSBAS) Algorithms.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"A R , JATOI, S R SAMO, H ABBASI, M A BHUTTO","Monitoring and Assessment of Noise Pollution: Case Study of Cantonment Railway Station Karachi, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"K UMER, M ALI, R IQBAL, N T NAREJO, A R ABBASI","Effect of Various Concentrations of Protein, Fat and Carbohydrate in Diet on Growth and Body Composition of Most Economically Important Fish in Pakistan, Labeo rohita",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"Q D KHOKHAR, A A DAAHAR HAKRO, S H SOLANGI, I A BROHI, AH MARKHAND","Textural Maturity and Depositional Environment of Bara Formation at Ranikot, Sindh",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"A A MAJIDANO, N A SODHO, G N RAJPER, M ALAMGIR, M Y KHUHAWAR","Liquid Chromatographic Determination of Dopamine, Methyldopa, L-dopa and Tyrosine in pharmaceutical preparations using 4- Dimethylaminebenzalaldehyde as a Derivatizing Reagent",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"K QURESHI, S ALMANI, Z SOLANGI, Z BHATTI, I BHATTI",Modified Hematite Iron for Removing Arsenic(V) from Water.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
NOOR JEHAN RAJPER,Modelling Chemical Plant Construction VO in VOML.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"H IJAZ, M ASAD, A MEMON, K B AHMED, H ABBASI, A N LAGHARI",Strain Energy Based Homogenization Method to Find The Equivalent Orthotropic Properties of Sandwich Structures,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 1 (2014)",,,
"S HUSSAIN, S QAISAR",A refinement of Heniz-logarithmic inequality for matrices.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"T JAN, A JEHANGIR, A ALI, S HAQ, S R HASSNAIN",An Energy Efficient Routing Protocol for Wireless Sensor Networks Based on Two Relay Nodes,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"A N SOOMRO, S A BALOUCH, T M JAHANGIR, W A BALOCH, K H LASHARI, W M ACHAKZAI, T J URSANI","Fish, Plankton Biodiversity and Physico-Chemical Parameters of Five Lakes of Deh-Akro II",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"S JALBANI, N T NAREJO, Y M JALBANI, R IQBAL","Morphometric characters and their relationship in relation total length in Cirrhinus reba (Hamilton) from Manchar Lake, District Jamshoro, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"A SHAH, M Y KHUHAWAR, A A SHAH","Viscometric Study of 4,4’ Naphthyl bis(oxy) bis benzaldehyde and its Schiff Base Polymers in DMAc Solution at different temperatures",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"I MALA, P AKHTAR, A R MEMON, T J ALI",Automatic Generation of Fuzzy Membership Functions based on K-Means and EM Clustering,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"M A SHAH, N MEMON, A M SHAIKH, B MAL, S A MEMON",Biology of Earias insulana (Spiny bollworm) Lepidoptera: Noctuidae on different temperatures in laboratory,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"A MUNIR, S ASIM, S A BABLANI, A A ASIF","Seismic Data Interpretation and Fault Mapping in Badin Area, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"D N HAKRO, I A ISMAILI, A Z TALIB, Z BHATTI, G N MOJAI",Issues and Challenges in Sindhi OCR.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"U ALI, K M YAHYA, T JAN, A JEHANGIR, S ALI, S R HASSNAIN",Blind separation of convolutive speech mixtures with background interference employing a Hybrid approach With ICA & PCA.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"K SHAIKH, G S GACHAL, S M YUSUF, G NABI, AH QADRI, A AFGHAN","Checklist and Distribution of Amphibian fauna in Sindh, Pakistan.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"F ALI, M N ARBAB",Harvesting Electrical Energy from Water Supply Tank.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"S AKHTAR, M R DHANANI",Rural Central Places in Karachi.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"N SOOMRO, A R MEMON, S ASLAM",Remedial Measures of Health and Safety in Ginning Industry of Pakistan.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
NILANJANA CHATTERJEE,"Seasonal Morphohistological Changes in the Activity of the Liver Cells and Its Co-relation with the Ovarian Cycle in the Asian Striped Dwarf Catfish Mystus vittatus (Bloch, 1794).",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"N CHANNA, A KERIO, K T PATHAN, M S ABBASSI",Decomposing and Rewriting Semantic Product Data Model Based on the Expressive Language ALCNHR*K(D) and Description Logic,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"N KHAN, M SHERAZ, R KHAN, I KHAN, I A SHAH, M A MEHMOOD, S JAN","Performance Analysis of Various Relay Selection Schemes in Rayleigh, Rician and Nakagami Fading Channels with Parallel AF Relays",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"S A SHAH, A MALIK, H KALHORO, I B KALHORO, G M WADHAR, G M MAHER","Growth performance of exotic catfish Pangas, Pangasius hypophthalmus (Sauvage, 1878) at Fish Hatchery ChilyaThatta, Sindh, Pakistan.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
NOOR JEHAN RAJPAR,Criteria for Modelling Languages in the Domain of VOs.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"W M ACHAKZAI, S W M ACHAKZAI, W A BALOCH, G R QAMBRANI, A N SOOMRO","Length-Weight Relationship and Condition Factor of Tank Goby Glossogobuis giuris (Hamilton and Buchannan, 1822) from Manchar Lake District Jamshoro, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"K B AMUR, M S CHANDIO, I A JUNEJO",FEM based Numerical Approximation Model for the Ambrosio–Tortorelli Energy Model and the Numerical Simulation of the Edge Detection and Image Denoising,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"I A QURESHI, F QURESHI",Comparative Analysis of Alternatives of Rotators in Single Path Delay Feedback FFT architecture,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"S KULACHI, A FAROOQ, K UMER, N T NAREJO, M ALI, I AHMED, R IQBAL",Evaluation of Meat Quality of Channa marulius Under Different Cultural Conditions.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"F M KANHER, T S SYED, T M JAHANGER, M Y KHAHAWAR, G H ABRO","Evaluation of Gamma Irradiation on Cotton Genotypes Fruiting Parts and Infestation of Spotted Bollworm, Earias Vittella (Fab.)",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"Q D KHOKHAR, A S MASTOI, A H MARKHAND, S A SHAIKH, G N SHAIKH","Major elements of Bara Formation at Ranikot Fort, Southern Indus Basin, Pakistan.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"A KEERIO, N CHANNA, B MITRA, R YOUNG, C CHATWIN",Acoustics of Isolated Vowel Sounds of Sindhi.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"Q AHMED, R MUHAMMAD, T J URSANI, N AHMAD, S M M S RASHDI, N DEPAR",Effect of Population Density on Fecundity of Chrysoperla Carnea (Neuroptera: Chrysopidae) Under Laboratory Conditions.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
"I A BROHI, S A BALADI, A G SAHITO, A U BROHI, M K SAMOON, K A MEMON","Stratigraphic Prospects and Structural Analysis of the Rois Anticline Thanu Bula Khan, Jamshoro, Sindh",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 2 (2014)",,,
