Faculty/ Department,Name of Author,Title of Research Paper,Name of Journal,Volume#,Page#,Category/ IF,source
NCEAC,"bdul Haleem Panwar, T. G. Kazi, H. I. Afridi, Farah N. Talpur. N. Kazi. "," ADistribution of Potassium, Calcium, Magnesium, and Sodium levels in Biological Samples of Pakistani hypertensive Patients and control subjects",Clinical laboratory,,"5-6,",1.084,https://www.clin-lab-publications.com/
NCEAC,"Laghari, A.H.; Memon, S.; Nelofar, A. and Khan, K.M. “", Determination of volatile constituents and antimicrobial activity of Camel thorn (Alhagi camelorum) flowers," Anal Lett 47,","413–421,",,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp
NCEAC,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Salma Arain, Sadaf Sadia Arain, Naveed Kazi, Abdul Haleem Panhwar,"," Evaluation of chromium and manganese in biological samples (scalp hair, blood and urine) of tuberculosis and diarrhea male human immunodeficiency virus patients",Clinical laboratory,,,1.084,https://www.clin-lab-publications.com/
IMCS,"Rashad, M.,  I. Ahmad, M. Shah, Z. U. A. Khuhro, "," Left Transitive AG-Groupoids, ","Sindh University Research Journal (Science Series), ISSN 1813-1743,  ","(2014) 46(4), pp~547-552.",,X,
FWB,"KALHORO Muhsan Ali, LIU Qun, MEMON Khadim Hussain, WARYANI Baradi, SOOMRO Shamsher Hyder ", Maximum sustainable yield of Greater Lizardfish Saurida tumbil fishery in Pakistan using the CEDA and ASPIC Packages ,Acta Oceanologica Sinica,"Vol. 34, No. 2",,0.4,
FWB,"Baradi WARYANI, Ghazala SIDDIQUI*, Zarrien AYUB, Shaukat Hayat KHAN "," Occurrence and temporal variation in the size-frequency distribution of 2 bloom-forming jellyfishes, Catostylus perezi (L. Agassiz, 1862) and Rhizostoma pulmo (Cuvier, 1800), in the Indus Delta along the coast of Sindh, Pakistan. ",Turkish Journal of Zoology,,doi:10.3906/zoo-1401-13 ,,
NCEAC," J. A. Baig, L. Elci, M. I. Khan, T. G. Kazi, ", Determination of total chromium at ultra-trace levels in water and soil samples by co-precipitation micro-sample injection system flame atomic absorption spectrometry. ,Journal of AOAC International ,97(5),", 1-5",1.385,http://www.aoac.org/
chemistry," Panhwar, Q.K. and Memon, S. "," Synthesis, characterization and antioxidant activity of Cr(III)-rutin complex.",Chem. Papers ,,,1.193,http://www.springer.com/chemistry/journal/11696
NCEAC," Sin Tee Tan, Akrajas Ali Umar, Aamna Balouch, Muhammad Yahaya, Muhammad Mat Salleh and Munetaka Oyama, ","101)- Plane Bounded-ZnO nanocubes films photocatalyst prepared via a low frequency Ultrasonic Assisted hydrolysis process,",Ultrason Sonochem,21(2):.,754-60,,
Biochemistry,"Sadia Qamar Arain, Farah N. Talpur, Naseem Aslam Channa, ",A comparative study of serum lipid contents in pre and post IFN-alpha treated acute hepatitis C patients.Lipids in Health and Disease. ,http://www.ncbi.nlm.nih.gov/pubmed/26403989,2015Sep 24;14(1):117. ,,2.22,
IMCS,"Chandio, Aftab Ahmed; Bilal, Kashif; Tziritas, Nikos; Yu, Zhibin; Jiang, Qingshan; Khan, Samee U.; Xu, Cheng-Zhong",A comparative study on resource allocation and energy efficient job scheduling strategies in large-scale parallel computing systems,CLUSTER COMPUT,17,10.1007/s10586-014-0384-x,ISI,
NCEAC,"Fahim, Faiza; Naseer, Ayesha; Ahmed, Shakil; Sherazi, Syed Tufail H.; Bhanger, Muhammad I.",A Green Approach for the Determination of Selected Anti-Diabetic Drugs in Pharmaceutical Formulation by Transmission FTIR Spectroscopy,J BRAZIL CHEM SOC,25,10.5935/0103-5053.20140188,ISI,
chemistry,"Naz, Saba; Kara, Huseyin; Sherazi, Syed Tufail Hussain; Aljabour, Abdalaziz; Talpur, Farah Naz",A green approach for the production of biodiesel from fatty acids of corn deodorizer distillate,RSC ADV,4,10.1039/c4ra08108k,ISI,
NCEAC,"Memon, Sibghatullah; Memon, Shahabuddin; Memon, Najma",A highly efficient p-tert-butylcalix[8] arene-based modified silica for the removal of Hexachlorocyclohexane isomers from aqueous media,DESALIN WATER TREAT,52,10.1080/19443994.2013.794710,ISI,
NCEAC,"Safdar, M.; Junejo, Y.; Arman, Kaifee; Abasiyanik, M. F.","A highly sensitive and specific tetraplex PCR assay for soybean, poultry, horse and pork species identification in sausages: Development and validation",MEAT SCI,98,10.1016/j.meatsci.2014.06.006,ISI,
NCEAC,"Junejo, Y.; Sirajuddin; Baykal, A.; Safdar, M.; Balouch, A.",A novel green synthesis and characterization of Ag NPs with its ultra-rapid catalytic reduction of methyl green dye,APPL SURF SCI,290,10.1016/j.apsusc.2013.11.106,ISI,
NCEAC," Y. Junejo, Sirajuddin, A. Baykal, M. Safdar, A. Balouch,","A novel green synthesis and characterization of Ag NPs with its ultra-rapid catalytic reduction of methyl green dye, Accepted in ",  Appl. Surf. Sci   :,290 (1), 499–503.,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description
Pharmacy,"Humera Sarwar, Abdullah Dayo, Muhammad Ali Ghoto",Adherence with prescribed medications among diabetes mellitus,Int. J. Pharm. Sci. Rev. Res.,24(1),246-252,1.704,
,"Kamboh, Muhammad Afzal; Bhatti, Asif Ali; Solangi, Imam Bakhsh; Sherazi, S. T. H.; Memon, Shahabuddin",Adsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material,ARAB J CHEM,7,10.1016/j.arabjc.2013.06.033,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Al- Huroof- Ul- Muqattiaat Maaniha wa Asraruha,"The Islamic Culture Research Journal Shaikh Zayed Islamic Center, Karachi University.ISSN: 1813-775 ",,Accepted & Written in Arabic,Z,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Al- Shaikh Abdul Qadir Al-Jail wa Makanatuhu- Al- Elmiyah,"The Islamic Culture Research Journal Shaikh Zayed Islamic Center, Karachi University.ISSN: 1813-775",,Accepted & Written in Arabic,Z,
CRIC,Dr. Bashir Ahmed Rind,Al-hania W Rishwa,PJIR,V 11 No. 3,,,NA
Biochemistry,"Ali Muhammad Soomro, Naseem A. Channa, Zulfiqar Ali Laghari",Allethrin induced histological and biochemical changes in liver of Rabbit. ,Medical Channel. ,2014; 20(3): 38-40. July – September. ,,Y,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,An Analysis of the Trend of Muslims to communicate their faith tradition to their children in Pakistan,"Irjah International Research Journal of Arts and Humanities University of Sindh, Jamshoro. ISSN: 1016- 9342",Vol: 42 ,PP: 99-110,Z,
NCEAC,"Memon, Shahabuddin; Memon, Sibghatullah; Memon, Najma",An efficient p-tetranitrocalix[4]arene based adsorbent for the removal of carbofuran from aqueous media,J IRAN CHEM SOC,11,10.1007/s13738-014-0432-8,ISI,
NCEAC, Memon S.; Memon N. and Memon S,An efficient p-tetranitrocalix[4]arene based adsorbent for the removal of carbofuran from aqueous media, J. Iran. Chem. Soc  Accepted 10.1007/s13738-014-0432-8.,,,1.406,http://www.springer.com/chemistry/analytical+chemistry/journal/13738
,"Khan, Khalid M.; Jamil, Waqas; Ambreen, Nida; Taha, Muhammad; Perveen, Shahnaz; Morales, Guillermo A.",An expeditious synthetic approach towards the synthesis of Bis-Schiff bases (aldazines) using ultrasound,ULTRASON SONOCHEM,21,10.1016/j.ultsonch.2013.12.011,ISI,
Biochemistry,"Dadu Khan Burdi1, Sumera Qureshi1*, Allah Bux Ghanghro2.Http://Www.Als-Journal.Com/An-Overview-Of-Available-Hypoglycemic-Triterpenoids-And-Saponins-To-Cure-Diabetes-Mellitus/",An Overview Of Available Hypoglycemic Triterpenoids And Saponins To Cure Diabetes Mellitus. ,International Journal Of Advancements In Life Sciences,1 (3),119-128,,
SU Laar Campus,Abdul Qadir Patoli,Analysis of environment conducive for Islamic Banking in Sindh,Journal of Management of Social Sciences,"vol: 8, issue 1",,,
IMCS,"Shaikh, Abdul Wasim; Memon, Ghulam Qadir",Analytical and numerical solutions of fluid flow filled with and without porous media in circular pipes,APPL MATH COMPUT,232,10.1016/j.amc.2014.01.038,ISI,
NCEAC," S. A. Mahesar, S. T. H. Sherazi, A. R. Khaskheli, A. A. Kandhro, Sirajuddin. ",Analytical approach for free fatty acids assessment in oils and fats.,Anal Meth Available online. ,,,1.938,http://pubs.rsc.org/en/journals/journalissues/ay
NCEAC,"Mahesar, S. A.; Sherazi, S. T. H.; Khaskheli, Abdul Rauf; Kandhro, Aftab A.; Uddin, Siraj",Analytical approaches for the assessment of free fatty acids in oils and fats,ANAL METHODS-UK,6,10.1039/c4ay00344f,ISI,
NCEAC,"Arain, Salma Aslam; Kazi, Tasneem G.; Afridi, Hassan Imran; Abbasi, Abdul Rasool; Panhwar, Abdul Haleem; Naeemullah; Shanker, Bhawani; Arain, Mohammad Balal",Application of dual-cloud point extraction for the trace levels of copper in serum of different viral hepatitis patients by flame atomic absorption spectrometry: A multivariate study,SPECTROCHIM ACTA A,133,10.1016/j.saa.2014.05.077,ISI,
NCEAC,"Salma Aslam Arain, Tasneem G Kazi, Hassan Imran Afridi, Abdul Rasool Abbasi, Abdul Haleem Panhwar, Naeemullah, Bhawani Shanker, Mohammad Bilal Arain, ",Application of dual-cloud point extraction for the trace levels of copper in serum of different viral hepatitis patients by flame atomic absorption spectrometry: A multivariate study,Spectrochimica Acta Part A: (Accepted) 2014.,,,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description
NCEAC,"Talpur, M. Younis; Kara, Huseyin; Sherazi, S. T. H.; Ayyildiz, H. Filiz; Topkafa, Mustafa; Arslan, Fatma Nur; Naz, Saba; Durmaz, Fatih; Sirajuddin",Application of multivariate chemometric techniques for simultaneous determination of five parameters of cottonseed oil by single bounce attenuated total reflectance Fourier transform infrared spectroscopy,TALANTA,129,10.1016/j.talanta.2014.04.002,ISI,
NCEAC,"Memon, Shahabuddin; Bhatti, Ashfaque Ali",Arsenate and Dichromate Removal Efficiency of a New Calix[4]arene Impregnated Resin,POLYCYCL AROMAT COMP,34,10.1080/10406638.2014.892888,ISI,
NCEAC,Memon S. and Bhatti A.A,Arsenate and dichromate removal efficiency of a new calix[4]arene impregnated resin, Polycyclic Aromatic Compounds. ,34 (3)," 280–308, ",0.833,http://www.tandfonline.com/openurl?genre=journal&issn=1040-6638
FWB,"Ghulam Murtaza Mastoi, Baradi Waryani, Zulfiqar Ali Laghari, Zameer Ali Palh, Khalid Hussain Lashari, Khalida Faryal Almani, Gul-e-Rana and Abdul Waheed Mastoi ",Assessment of Chemistry of Soil Irrigated on Phuleli Canal. ,Science Journal of Chemistry. ,"Vol. 2, No. 4, pp. 33-37",,1.34,
IICT,"Memon, S. A.; Laghari, N. A.; Qureshi, S. T.; Mehdi, F.",Assessment of molybdenum breakthrough levels in molybdenum-99/technetium-99m generators: One year experience at NIMRA Jamshoro Pakistan,INT J RADIAT RES,12,,ISI,
